Mois ;Chaine ;Mention ;;;;
nov. 24;Arte ;2;;;;
déc. 24;Arte ;9;;;;
janv. 25;Arte ;12;;;;
févr. 25;Arte ;0;;;;
mars 25;Arte ;2;;;;
avr. 25;Arte ;0;;;;
mai 25;Arte ;6;;;;
juin 25;Arte ;1;;;;
juil. 25;Arte ;6;;;;
août 25;Arte ;6;;;;
sept. 25;Arte ;16;;;;
oct. 25;Arte ;11;;;;
nov. 24;France 2 ;24;;;;
déc. 24;France 2 ;33;;;;
janv. 25;France 2 ;41;;;;
févr. 25;France 2 ;24;;;;
mars 25;France 2 ;26;;;;
avr. 25;France 2 ;38;;;;
mai 25;France 2 ;19;;;;
juin 25;France 2 ;15;;;;
juil. 25;France 2 ;31;;;;
août 25;France 2 ;9;;;;
sept. 25;France 2 ;96;;;;
oct. 25;France 2 ;61;;;;
nov. 24;M6;13;;;;
déc. 24;M6;14;;;;
janv. 25;M6;23;;;;
févr. 25;M6;4;;;;
mars 25;M6;10;;;;
avr. 25;M6;12;;;;
mai 25;M6;10;;;;
juin 25;M6;8;;;;
juil. 25;M6;7;;;;
août 25;M6;5;;;;
sept. 25;M6;30;;;;
oct. 25;M6;58;;;;
nov. 24;TF1;41;;;;
déc. 24;TF1;25;;;;
janv. 25;TF1;30;;;;
févr. 25;TF1;18;;;;
mars 25;TF1;20;;;;
avr. 25;TF1;23;;;;
mai 25;TF1;33;;;;
juin 25;TF1;24;;;;
juil. 25;TF1;21;;;;
août 25;TF1;27;;;;
sept. 25;TF1;56;;;;
oct. 25;TF1;34;;;;
